,Fp1,F3,C3,P3,F7,T3,T5,O1,Fz,Cz,Pz,Fp2,F4,C4,P4,F8,T4,T6,O2,EKG
0,9.21,-47.46,15.1,8.22,-16.9,-22.99,-25.82,-10.09,28.37,-3.01,-27.3,101.04,35.11,14.54,18.33,28.54,44.09,69.65,30.74,171.68
1,-3.59,-30.29,32.38,10.8,-68.98,-21.6,-15.08,-9.21,26.36,-8.98,-32.28,95.8,26.39,4.82,10.54,20.56,32.06,59.44,23.32,178.28
2,-26.04,-60.07,2.37,-10.15,-34.69,-31.4,-31.92,-26.98,-1.94,-28.77,-49.77,73.45,-3.68,-17.32,-16.15,-8.27,5.33,45.18,9.49,306.74
3,-3.04,-36.25,29.56,14.53,-14.01,-11.9,-14.23,-6.31,26.04,-2.77,-25.03,91.01,22.61,6.9,9.93,15.48,33.58,69.62,31.01,223.26
4,-4.63,-20.16,25.19,1.19,-44.58,-23.51,-30.71,-17.6,25.42,-8.86,-33.96,89.45,19.44,-2.08,6.11,8.38,24.18,55.87,19.91,170.76
5,-21.16,-34.05,19.4,-0.02,-48.96,-8.47,-33.74,-22.16,18.52,-11.3,-35.9,80.91,14.53,-5.42,-0.4,5.43,18.28,51.76,16.58,282.29
6,-10.94,-37.05,9.87,3.02,-28.59,-18.28,-23.94,-15.92,22.04,-5.05,-27.72,92.98,17.45,4.95,6.53,14.7,26.28,62.15,27.21,284.03
7,-0.14,-32.48,23.38,11.53,-25.61,-33.28,-6.87,-5.9,26.4,-3.22,-25.32,95.42,22.01,4.99,10.9,16.47,30.81,59.51,26.38,203.86
8,8.7,-10.47,46.76,20.5,-8.18,-11.45,-7.85,-2.08,35.0,6.19,-16.15,97.34,27.67,14.27,19.73,23.86,36.77,69.2,34.45,251.45
9,0.63,-36.04,18.58,12.62,-6.19,-1.49,-10.12,-8.54,21.12,1.96,-17.73,95.27,19.99,16.47,14.33,23.07,35.09,68.53,34.16,285.68
10,6.32,-28.63,30.69,15.81,-7.99,-2.66,-5.61,-5.04,26.89,3.1,-19.52,96.28,23.74,9.64,12.19,18.82,31.8,62.75,28.96,232.41
11,-10.37,-40.55,30.74,4.25,-44.53,-33.2,-23.96,-15.17,19.82,-7.3,-29.03,88.37,17.75,-0.52,7.16,6.94,22.4,54.65,20.0,212.61
12,-29.51,-59.23,5.19,-3.18,-52.8,-18.31,-26.52,-22.93,4.04,-13.65,-34.68,69.57,7.15,-2.95,0.33,5.71,22.96,58.4,20.47,296.16
13,-8.82,-47.9,8.15,-1.4,-20.06,-18.11,-29.92,-16.28,18.6,-3.56,-22.87,90.54,22.82,12.94,16.19,20.41,40.11,71.55,32.42,227.7
14,-8.58,-24.73,31.76,2.59,-42.92,-10.31,-26.63,-15.63,25.41,-7.18,-28.87,97.5,22.22,3.65,12.07,15.12,31.89,60.22,23.04,191.53
15,-20.96,-59.77,0.96,-12.38,-26.43,-9.42,-30.19,-22.83,5.19,-19.2,-39.29,82.9,8.01,-3.72,1.04,9.54,20.49,56.42,19.38,325.65
16,-16.17,-40.55,4.2,-11.88,-19.83,-12.64,-38.57,-28.49,1.64,-23.81,-45.0,68.13,-1.67,-11.09,-6.5,-0.7,13.53,47.79,12.62,301.34
17,-6.78,-35.38,13.65,-0.74,-43.0,3.52,-22.52,-15.87,16.26,-13.89,-35.85,83.74,15.67,-3.04,8.05,14.06,26.58,57.25,19.55,183.2
18,-1.05,-32.32,33.26,6.41,-32.36,-27.17,-24.49,-13.35,25.17,-2.74,-25.44,91.72,22.54,8.76,15.48,24.64,37.45,68.28,28.4,258.89
19,-14.59,-47.77,20.1,6.19,-25.91,-31.88,-18.83,-21.89,9.42,-10.61,-33.16,75.3,7.57,-2.0,2.08,13.42,23.92,55.98,18.63,297.03
20,-8.99,-33.26,27.0,9.44,-47.53,-26.33,-9.47,-14.1,19.31,-4.65,-27.93,87.59,16.09,2.46,10.1,17.12,28.06,58.37,21.12,233.18
21,10.23,-15.37,38.87,18.91,-13.27,-17.74,-10.04,-1.18,37.24,9.66,-11.48,104.43,36.04,21.27,30.26,34.69,44.51,76.76,39.05,206.6
22,-16.69,-42.09,23.52,7.38,-28.48,-18.06,-21.41,-18.96,9.86,-7.33,-27.18,80.12,10.87,2.12,7.85,15.57,25.61,60.02,24.5,276.43
23,-28.71,-54.41,15.38,3.76,-49.38,-20.07,-22.35,-19.81,1.33,-14.84,-33.44,75.68,4.65,-4.22,2.19,9.99,21.74,52.32,17.56,225.05
24,9.25,-16.96,33.96,13.35,-14.45,-23.37,-16.81,-5.27,28.14,-0.2,-19.32,91.9,28.4,11.01,22.09,28.01,35.8,66.17,31.18,165.55
25,4.46,-24.09,32.03,18.0,-8.64,-15.61,-19.37,-5.81,29.47,10.03,-10.72,98.48,31.54,22.95,28.99,36.14,47.68,76.84,41.26,283.29
26,-0.02,-35.9,34.61,18.32,-10.66,3.14,-20.01,-9.04,27.9,11.18,-11.0,106.71,30.38,24.45,25.68,37.23,45.9,74.74,38.77,272.79
27,5.39,-27.38,25.29,3.28,-31.63,-16.94,-21.86,-16.31,26.33,-1.8,-26.82,96.89,24.25,9.63,18.14,24.8,32.3,55.15,20.86,146.89
28,-7.66,-29.49,24.08,-0.76,-17.67,9.06,-26.88,-17.57,20.13,-6.21,-29.71,88.47,19.82,9.04,17.81,28.04,38.11,64.27,24.45,209.08
