,Fp1,F3,C3,P3,F7,T3,T5,O1,Fz,Cz,Pz,Fp2,F4,C4,P4,F8,T4,T6,O2,EKG
0,-105.85,-89.23,-79.46,-49.23,-99.73,-87.77,-53.33,-50.74,-32.25,-42.1,-43.27,-88.73,-74.41,-92.46,-58.93,-75.74,-59.47,8.21,66.49,1404.93
1,-85.47,-75.07,-60.26,-38.92,-73.08,-87.51,-39.68,-35.63,-76.84,-62.74,-43.04,-68.63,-61.69,-69.32,-35.79,-58.9,-41.66,196.19,230.67,3402.67
2,8.84,34.85,56.43,67.97,48.1,25.35,80.25,48.06,6.72,37.88,61.0,16.58,55.06,45.02,70.53,47.82,72.03,-67.18,-171.31,-3565.8
3,-56.32,-37.28,-28.1,-2.82,-43.43,-35.05,3.91,-12.66,8.65,3.83,4.18,-51.9,-21.89,-41.33,-11.58,-27.04,-11.73,-91.0,-81.19,-1280.93
4,-110.14,-104.52,-96.88,-70.25,-111.66,-114.43,-71.83,-61.92,-76.15,-79.78,-67.48,-99.03,-93.61,-104.41,-70.07,-89.25,-77.26,155.73,264.85,4325.37
5,-20.69,-0.45,20.3,33.92,13.21,-15.23,42.98,22.13,-35.62,-5.82,22.86,-10.2,17.63,11.2,38.55,14.34,36.18,1.84,-51.15,-1490.19
6,-36.49,-8.83,2.9,26.2,-10.08,-14.21,33.9,10.49,12.04,17.71,26.35,-26.76,6.11,-10.38,18.24,-1.37,16.88,-161.6,-212.83,-3514.16
7,-131.61,-120.48,-115.83,-83.41,-133.04,-128.69,-81.13,-73.72,-70.27,-83.49,-76.24,-117.6,-111.26,-125.67,-87.89,-108.98,-98.35,89.17,197.09,3567.33
8,-59.19,-43.6,-27.73,-10.65,-36.27,-62.26,2.05,-9.66,-69.31,-46.12,-17.32,-49.61,-32.85,-36.34,-3.84,-30.28,-14.37,102.27,102.13,1223.91
9,-4.19,24.56,42.13,57.88,32.25,18.88,67.89,39.43,15.65,35.37,53.7,3.62,39.45,24.49,53.47,32.91,51.99,-151.09,-242.72,-4336.32
10,-107.17,-90.49,-84.56,-52.37,-102.92,-91.15,-53.13,-52.39,-38.58,-51.98,-46.51,-91.04,-86.05,-102.92,-65.82,-82.77,-69.62,12.62,69.75,1448.93
11,-88.22,-77.54,-64.2,-42.66,-76.88,-92.68,-37.97,-37.36,-83.65,-72.0,-46.28,-69.03,-73.47,-79.86,-42.36,-63.31,-50.99,174.86,232.71,3435.97
12,-5.02,22.26,44.38,56.5,33.74,12.02,69.87,39.3,-12.67,18.39,48.34,-0.35,31.16,24.19,54.56,31.24,49.58,-107.62,-181.04,-3582.22
13,-81.73,-56.67,-44.05,-15.56,-66.66,-52.2,-11.58,-25.36,-16.65,-19.83,-11.61,-78.3,-50.94,-68.5,-31.69,-50.49,-38.86,-120.06,-94.57,-1242.92
14,-118.84,-107.87,-94.74,-66.07,-114.52,-115.15,-68.61,-60.57,-86.89,-84.57,-66.83,-105.19,-105.76,-114.82,-72.28,-94.43,-86.8,145.7,260.61,4254.5
15,-19.58,1.82,27.32,41.14,15.9,-10.12,48.97,28.14,-38.78,-3.4,29.77,-13.1,10.08,6.96,40.32,13.67,30.86,-9.73,-50.29,-1462.3
16,-40.45,-16.24,4.18,28.06,-14.33,-11.59,34.28,10.7,-0.59,13.21,27.87,-36.15,-7.17,-21.94,13.65,-10.88,2.49,-174.45,-213.43,-3426.66
17,-127.94,-114.83,-102.32,-69.57,-125.1,-113.23,-68.53,-62.42,-71.97,-76.17,-63.55,-112.92,-111.78,-122.88,-81.21,-107.11,-99.55,83.56,199.35,3538.44
18,-56.67,-41.19,-14.86,2.71,-29.81,-48.16,12.53,0.52,-70.79,-38.27,-4.67,-49.41,-31.5,-32.28,4.15,-29.38,-14.19,90.06,104.24,1095.11
19,-9.74,18.3,45.55,63.04,27.77,22.85,84.99,44.66,7.9,35.5,59.9,-8.58,31.2,23.43,56.19,24.61,43.4,-163.4,-244.29,-4593.17
20,-112.34,-93.04,-78.37,-46.74,-103.93,-85.81,-37.08,-44.73,-42.45,-47.57,-38.7,-98.73,-89.09,-100.65,-59.11,-86.15,-74.94,-22.58,67.99,1188.6
